"metabolites" "VIPֵ"
"methionine.with.mz.85.99.contaminant.ions" 0.888645493959228
"Lactic.acid" 0.887161230689446
"palatinitol" 0.88213412759837
"X2.6.11.TETRAMETHYLDODECANE" 0.88129349236398
"X16.Hydroxyhexadecanoic.acid" 0.878626694245828
"NONACOSANE" 0.870864455392425
"Oxalacetic.acid.Pyruvate" 0.866601951818408
"DL.Pyroglutamic.acid" 0.865480868232867
"sophorose" 0.865075793776093
"Phytol.mixture.of.isomers" 0.825341198661311
"cerotinic.acid" 0.80554952649732
"D.....Xylose" 0.802548242818986
"xylonolactone" 0.801631029543041
"hexitol" 0.790927105076978
"palmitoleic.acid" 0.781312796096755
"X1.OCTEN.3.OL" 0.769355949554153
"OCTACOSANE" 0.765744499477643
"X4.PENTENYL.ISOTHIOCYANATE" 0.76371211728269
"palmitic.acid" 0.760228515539335
"DODECANE" 0.757741920443794
"triacontanol" 0.738168918510978
"octanol" 0.731236643123722
"Arabitol" 0.725368309125111
"ENDO.1.ETHYL.5.METHYL.6.8.DIOXABICYCLO.3.2.1.OCTAN.3.OL" 0.69397479574412
"hexadecylglycerol" 0.672405270295718
"Sorbose_2" 0.666490528069496
"capric.acid" 0.663369434860525
"maltotriose" 0.661546197875221
"Behenic.acid" 0.66107812549199
"DOCOSANE" 0.659750953902093
"X1.monopalmitin" 0.659669534481949
"Melibiose" 0.659030131792218
"X5.NONANONE" 0.645057159908352
"Psicose_2_.Tagatose_2_" 0.641168807789855
"X2.Deoxy.D.glucose" 0.634573775884334
"X1.Docosanol" 0.62908148426618
"diacetone.alcohol" 0.614134003006891
"PENTADECANE" 0.612267180332324
"Glucono.1.5.lactone_1" 0.602475279659589
"lithocholic.acid" 0.581423696384487
"SQUALENE" 0.569722362518011
"X2.HYDROXYMETHYL.1.3.DIMETHOXY.2.METHYLPROPANE" 0.568015521751101
"TRIDECANE" 0.558540725235761
"X2.ketoadipic.acid" 0.555781605443789
"meso.Erythritol" 0.552519386304984
"X6.deoxyglucitol" 0.5271480716741
"Glycolic.acid" 0.515888219696584
"X5.6.Dihydrouracil" 0.500874402546017
"X1.Hexadecanol" 0.496746556487771
"Pelargonic.acid" 0.496157863423518
"X2.BUTYLTHIOPHENE" 0.489063550020802
"X6.6.DIETHOXY.4.HEXYN.3.OL" 0.486931190204871
"Oxalic.acid" 0.468226827888999
"M4" 0.467986091878586
"TETRACOSANE" 0.465290774161311
"docosenoic.acid" 0.462566683132043
"squalene" 0.452808732920936
"pentadecanoic.acid" 0.439586693323366
"D.....Maltose" 0.430191665501591
"BUTYL.ACRYLATE" 0.412262274086985
"stigmasterol" 0.41133465714139
"CARVOMENTHONE" 0.410961612078839
"linoleic.acid" 0.410287828461926
"beta.Lactose" 0.408129105118516
"HEXACOSANE" 0.39720297423607
"NONADECANE" 0.391922474517411
"X2.deoxytetronic.acid" 0.375233965051495
"heptadecanoic.acid" 0.358492968527854
"DECANE" 0.356560329988441
"X5.Keto.D.Gluconic.acid" 0.354446352090544
"beta.Alanine" 0.352882437150987
"myristic.acid" 0.328371914115367
"Allose_2_.Mannose_2_" 0.309621888766711
"Lauric.acid" 0.303425226591501
"Isocitric.acid.Citric.acid" 0.301229502997016
"Mannose_1_" 0.284347095509659
"X1.2.anhydro.myo.inositol." 0.281975934722663
"HEPTADECANE" 0.278537094982701
"isopentadecanoic.acid" 0.270726344042593
"X1.4.DICHLOROBENZENE" 0.269138249020438
"X2.hydroxybutanoic.acid" 0.254523228405879
"zymosterol" 0.253704314275949
"Allose_1_" 0.240816418065009
"monomyristin" 0.227142907882655
"isobutene.glycol" 0.206689882164293
"D.....Trehalose" 0.199799580844038
"X3.deoxyhexitol" 0.19435244231292
"erythronic.acid.lactone" 0.184772140719374
"X.....alpha.Tocopherol" 0.176820005839956
"Myricetin" 0.155217932641049
"Malic.acid" 0.154628637541893
"lactobionic.acid" 0.151419051255158
"X4.Hydroxypyridine" 0.136653553346089
"oleic.acid" 0.126830964998285
"Ribitol.1" 0.121561496644964
"Glycine" 0.108882276021025
"D.....Glucose" 0.0742289788880277
"Icosanoic.acid" 0.0497821771469766
"maltitol" 0.0493905061309204
"DL.beta.Hydroxybutyric.acid" 0.016440115224442
"N.Acetylneuraminic.acid" 0.0037945371033694
"Myo.Inositol" 0.00051150466192744
